account_id,customer_id,account_type,opening_date,current_balance,credit_limit,account_status
20001,10185,Current,2022-10-14,15039.56,2500,Active
20002,10011,Savings,2019-04-27,726.99,5000,Active
20003,10198,Savings,2021-05-13,13618.83,1500,Active
20004,10159,Savings,2024-08-01,15913.14,2500,Active
20005,10075,Savings,2022-05-22,8279.36,5000,Active
20006,10104,Everyday,2019-10-26,12145.94,500,Active
20007,10113,Everyday,2024-03-17,3035.63,2500,Active
20008,10037,Everyday,2022-07-31,13002.96,1000,Active
20009,10250,Everyday,2023-02-26,8881.63,0,Active
20010,10082,Everyday,2020-05-16,4228.47,500,Active
20011,10037,Everyday,2022-04-03,16973.24,2500,Active
20012,10108,Everyday,2020-10-16,14493.38,2500,Active
20013,10185,Everyday,2020-10-14,8567.39,2500,Active
20014,10120,Everyday,2022-06-17,8550.56,0,Active
20015,10242,Everyday,2024-02-16,17373.71,500,Active
20016,10150,Everyday,2019-07-27,4489.5,2500,Active
20017,10226,Savings,2024-04-11,4572.07,0,Active
20018,10217,Everyday,2020-07-02,15790.17,5000,Active
20019,10094,Savings,2023-02-07,50.56,0,Active
20020,10146,Savings,2023-01-24,9600.59,0,Active
20021,10099,Everyday,2025-03-02,4458.75,2500,Active
20022,10175,Savings,2020-06-11,17531.56,1500,Active
20023,10096,Savings,2022-10-20,9687.24,1000,Active
20024,10194,Everyday,2025-10-03,8771.5,2500,Active
20025,10011,Everyday,2020-07-15,12615.53,1500,Active
20026,10133,Everyday,2025-10-19,15990.88,500,Active
20027,10084,Current,2022-07-28,2255.04,2500,Active
20028,10190,Savings,2025-08-28,5523.82,2500,Active
20029,10137,Everyday,2025-04-24,4836.06,0,Active
20030,10095,Everyday,2020-03-24,17622.08,2500,Active
20031,10079,Savings,2026-01-21,-299.03,1500,Active
20032,10068,Current,2025-06-27,10059.53,5000,Active
20033,10014,Savings,2020-11-29,9055.57,5000,Active
20034,10159,Savings,2023-04-07,1978.18,5000,Active
20035,10063,Everyday,2020-03-26,2786.75,1500,Active
20036,10081,Everyday,2023-08-19,12181.4,1500,Active
20037,10129,Savings,2024-04-15,15608.97,5000,Active
20038,10187,Everyday,2020-07-19,8951.24,2500,Active
20039,10084,Current,2024-05-13,9078.97,1000,Active
20040,10245,Everyday,2024-12-23,5635.75,1000,Active
20041,10174,Savings,2021-12-18,10669.44,500,Active
20042,10246,Everyday,2025-04-04,4811.78,1000,Active
20043,10198,Everyday,2021-04-29,12176.51,1500,Active
20044,10082,Everyday,2025-04-14,16753.57,5000,Active
20045,10071,Everyday,2025-06-06,11920.5,1500,Active
20046,10230,Current,2022-11-14,17146.65,500,Active
20047,10075,Everyday,2019-11-20,5711.63,1500,Active
20048,10168,Everyday,2024-05-16,3222.95,2500,Active
20049,10070,Current,2022-01-17,1780.73,2500,Active
20050,10190,Savings,2021-09-20,154.39,2500,Active
20051,10058,Savings,2019-08-04,1083.72,1000,Active
20052,10184,Everyday,2020-07-17,-702.59,2500,Active
20053,10238,Everyday,2024-05-02,8176.03,500,Active
20054,10194,Current,2022-08-08,4565.81,0,Active
20055,10233,Savings,2025-06-09,3565.74,5000,Active
20056,10186,Current,2019-06-02,16368.72,500,Active
20057,10107,Current,2020-12-21,16757.75,0,Active
20058,10215,Everyday,2024-07-22,2702.66,5000,Active
20059,10247,Current,2022-03-31,15682.77,0,Active
20060,10077,Savings,2020-03-15,16654.95,1000,Active
20061,10073,Everyday,2025-02-03,9057.19,500,Active
20062,10218,Everyday,2022-01-22,2824.85,0,Active
20063,10085,Everyday,2024-02-23,11387.76,5000,Active
20064,10048,Everyday,2022-10-12,14066.43,2500,Active
20065,10173,Savings,2020-12-19,10685.94,5000,Active
20066,10230,Everyday,2023-10-18,8887.28,0,Active
20067,10103,Savings,2021-01-26,17655.68,1500,Active
20068,10083,Current,2019-01-28,4102.76,500,Active
20069,10115,Savings,2022-09-12,4876.58,5000,Active
20070,10147,Everyday,2023-01-12,12224.05,0,Active
20071,10171,Everyday,2022-06-10,2202.68,5000,Active
20072,10129,Current,2022-06-27,12177.46,5000,Active
20073,10235,Current,2023-02-14,10754.96,500,Active
20074,10246,Everyday,2020-09-19,7753.6,2500,Active
20075,10096,Everyday,2025-02-27,16360.58,2500,Active
20076,10206,Savings,2021-06-13,13522.96,5000,Active
20077,10194,Savings,2019-12-02,9079.53,2500,Active
20078,10181,Everyday,2025-04-29,1309.53,2500,Active
20079,10232,Everyday,2025-06-03,9289.21,500,Active
20080,10084,Current,2023-12-15,1385.31,500,Active
20081,10184,Savings,2020-01-08,16099.12,1500,Active
20082,10208,Everyday,2020-06-24,8849.06,1500,Active
20083,10145,Everyday,2024-03-08,11848.03,1000,Active
20084,10186,Everyday,2021-11-08,14549.32,5000,Active
20085,10056,Savings,2019-07-05,7165.51,5000,Active
20086,10017,Everyday,2019-09-04,16770.16,0,Active
20087,10240,Everyday,2022-03-21,6886.7,500,Active
20088,10197,Savings,2023-09-18,6239.87,1500,Active
20089,10115,Current,2023-03-27,6262.14,5000,Active
20090,10247,Savings,2025-01-17,1700.21,1000,Active
20091,10031,Everyday,2025-01-09,6589.5,500,Active
20092,10187,Current,2019-01-15,13416.17,1000,Active
20093,10119,Savings,2025-02-08,7173.61,1500,Active
20094,10211,Everyday,2024-03-01,5707.8,1000,Active
20095,10049,Current,2020-04-07,-194.31,5000,Active
20096,10108,Savings,2019-03-06,3724.53,0,Active
20097,10026,Savings,2024-01-03,10438.36,5000,Active
20098,10224,Everyday,2019-07-01,6762.59,500,Active
20099,10139,Everyday,2019-08-20,1834.55,1000,Active
20100,10060,Savings,2025-06-17,5195.39,2500,Active
20101,10198,Savings,2022-08-06,3653.8,500,Active
20102,10170,Everyday,2023-08-21,4849.42,0,Active
20103,10143,Current,2020-12-18,10968.67,1500,Active
20104,10143,Everyday,2022-11-11,16901.82,5000,Active
20105,10098,Savings,2022-07-29,12290.6,1500,Active
20106,10039,Everyday,2021-01-23,13383.02,1500,Active
20107,10062,Savings,2022-05-16,15321.78,500,Active
20108,10207,Everyday,2019-08-25,9772.86,1500,Active
20109,10143,Everyday,2023-05-10,3765.74,500,Active
20110,10085,Savings,2024-01-17,15126.11,0,Active
20111,10138,Savings,2021-02-19,168.89,1500,Active
20112,10173,Savings,2019-06-11,15624.06,500,Active
20113,10206,Savings,2025-04-08,3279.91,500,Active
20114,10223,Current,2022-05-26,17191.97,0,Active
20115,10055,Current,2020-04-25,13241.33,1500,Active
20116,10235,Everyday,2025-10-11,12430.85,1500,Active
20117,10235,Everyday,2022-08-10,13779.66,1500,Active
20118,10120,Everyday,2023-01-11,4998.34,1000,Active
20119,10132,Current,2024-03-23,1053.83,5000,Active
20120,10121,Savings,2022-08-04,16389.41,1000,Active
20121,10081,Everyday,2025-04-23,15444.8,5000,Active
20122,10038,Everyday,2025-03-16,16773.46,2500,Active
20123,10185,Everyday,2020-09-16,2888.41,500,Active
20124,10098,Savings,2021-10-03,8586.87,5000,Active
20125,10242,Savings,2021-11-20,13551.18,1500,Active
20126,10248,Savings,2024-07-02,7863.59,5000,Active
20127,10204,Everyday,2020-07-27,12741.89,1500,Active
20128,10048,Current,2025-01-29,17818.08,0,Active
20129,10135,Everyday,2019-11-01,16969.54,5000,Active
20130,10013,Savings,2023-08-17,1784.84,5000,Active
20131,10060,Everyday,2020-09-10,-628.14,2500,Active
20132,10117,Everyday,2025-12-05,11189.3,2500,Active
20133,10234,Everyday,2024-06-21,-504.24,2500,Active
20134,10142,Everyday,2019-03-10,9153.05,1000,Active
20135,10138,Current,2019-03-12,8641.66,5000,Active
20136,10173,Everyday,2021-01-04,1211.91,0,Active
20137,10135,Everyday,2021-02-25,10851.88,1000,Active
20138,10209,Everyday,2023-06-14,685.56,1500,Active
20139,10118,Savings,2021-07-14,4839.52,0,Active
20140,10168,Current,2019-05-10,957.81,1500,Active
20141,10097,Savings,2019-08-18,11170.86,5000,Active
20142,10044,Everyday,2023-11-13,11324.26,1000,Active
20143,10145,Current,2020-01-26,16022.07,0,Active
20144,10059,Everyday,2025-05-10,8139.41,0,Active
20145,10237,Everyday,2022-02-22,16107.06,2500,Active
20146,10169,Everyday,2022-07-12,-505.63,500,Active
20147,10151,Everyday,2023-06-20,16662.85,1000,Active
20148,10042,Savings,2025-05-10,14891.43,1500,Active
20149,10174,Current,2022-09-20,6416.31,5000,Active
20150,10036,Savings,2019-11-18,8614.91,1000,Active
20151,10014,Everyday,2021-08-08,14967.08,1000,Active
20152,10155,Savings,2025-09-05,6658.02,1000,Active
20153,10008,Savings,2024-01-20,8423.34,1000,Active
20154,10142,Current,2023-11-04,2691.87,2500,Active
20155,10170,Everyday,2025-12-08,4753.13,500,Active
20156,10183,Everyday,2022-01-02,2099.35,5000,Active
20157,10201,Savings,2023-05-15,5153.55,0,Active
20158,10024,Everyday,2022-06-16,7561.03,1000,Active
20159,10027,Everyday,2021-02-06,7302.41,2500,Active
20160,10143,Everyday,2020-02-28,-306.28,1000,Active
20161,10142,Everyday,2025-09-15,13947.45,1500,Active
20162,10004,Everyday,2023-05-08,13848.38,5000,Active
20163,10231,Savings,2021-09-21,9952.86,500,Active
20164,10176,Everyday,2020-07-22,4255.68,1000,Active
20165,10127,Everyday,2020-11-15,7371.91,1500,Active
20166,10077,Everyday,2019-11-12,5989.15,500,Active
20167,10185,Savings,2025-08-29,10793.37,1500,Active
20168,10028,Everyday,2019-01-28,17037.88,1000,Active
20169,10216,Savings,2022-09-11,7476.19,1500,Active
20170,10209,Savings,2025-08-31,1759.14,1000,Active
20171,10155,Current,2021-04-02,8205.38,500,Active
20172,10247,Everyday,2022-07-31,4679.23,5000,Active
20173,10163,Everyday,2025-06-16,13901.12,1000,Active
20174,10097,Everyday,2023-05-29,6062.29,2500,Active
20175,10052,Savings,2025-02-12,2582.63,2500,Active
20176,10007,Current,2024-03-05,16927.93,500,Active
20177,10113,Savings,2019-10-11,14596.55,1500,Active
20178,10173,Everyday,2026-02-07,4893.25,1000,Active
20179,10169,Everyday,2023-09-30,14034.64,0,Active
20180,10115,Current,2024-05-16,10146.19,2500,Active
20181,10130,Current,2023-09-10,9420.53,1000,Active
20182,10180,Current,2025-01-08,10363.81,0,Active
20183,10028,Savings,2022-12-25,2327.16,2500,Active
20184,10012,Savings,2023-06-25,17376.05,1000,Active
20185,10248,Savings,2020-03-09,-601.7,1000,Active
20186,10057,Everyday,2024-10-25,9690.28,5000,Active
20187,10148,Everyday,2023-03-13,6553.32,5000,Active
20188,10151,Savings,2020-09-09,5685.39,0,Active
20189,10124,Everyday,2023-08-31,16506.29,0,Active
20190,10030,Savings,2020-08-03,5748.58,1000,Active
20191,10117,Savings,2024-11-04,8279.01,1500,Active
20192,10025,Everyday,2024-01-28,5195.5,1000,Active
20193,10012,Savings,2020-04-16,-375.4,1000,Active
20194,10166,Everyday,2020-11-04,16682.54,5000,Active
20195,10063,Everyday,2025-03-10,2210.55,2500,Active
20196,10110,Current,2021-08-07,14197.81,5000,Active
20197,10048,Everyday,2023-11-06,6636.95,5000,Active
20198,10158,Current,2024-01-16,10333.42,1500,Active
20199,10002,Savings,2021-04-22,4432.88,5000,Active
20200,10208,Savings,2025-06-22,1112.94,2500,Active
20201,10048,Everyday,2021-03-18,7801.95,1000,Active
20202,10172,Current,2024-12-01,17359.23,1000,Active
20203,10153,Everyday,2023-05-27,10235.69,1000,Active
20204,10091,Savings,2025-12-03,2443.52,5000,Active
20205,10181,Savings,2025-11-21,10295.17,5000,Active
20206,10035,Everyday,2021-09-04,4941.14,500,Active
20207,10096,Savings,2024-09-23,6503.11,2500,Active
20208,10036,Savings,2023-09-29,2692.17,5000,Active
20209,10138,Savings,2020-12-10,9632.36,1500,Active
20210,10074,Everyday,2022-07-12,15029.32,2500,Active
20211,10014,Current,2019-02-09,8310.65,500,Active
20212,10209,Everyday,2025-04-19,8702.23,1500,Active
20213,10105,Savings,2023-08-30,12550.68,1500,Active
20214,10126,Everyday,2025-05-04,-219.82,500,Active
20215,10075,Everyday,2021-07-09,9307.04,500,Active
20216,10200,Everyday,2024-07-21,9534.85,0,Active
20217,10147,Everyday,2025-02-02,14677.72,1000,Active
20218,10139,Savings,2019-06-20,13488.08,1500,Active
20219,10140,Everyday,2023-10-08,1125.43,5000,Active
20220,10193,Everyday,2019-05-13,7654.97,1000,Active
20221,10221,Savings,2023-12-04,15467.46,0,Active
20222,10199,Savings,2021-05-09,14441.21,2500,Active
20223,10177,Everyday,2025-11-04,11096.09,500,Active
20224,10158,Everyday,2021-04-26,14494.36,0,Active
20225,10146,Everyday,2022-02-25,10420.92,500,Active
20226,10083,Current,2022-04-13,4639.46,1000,Active
20227,10244,Current,2020-01-26,1749.07,1500,Active
20228,10236,Everyday,2022-02-09,15500.49,500,Active
20229,10180,Current,2021-10-19,1949.38,1000,Active
20230,10213,Everyday,2023-05-28,8401.82,2500,Active
20231,10162,Everyday,2023-08-24,6253.24,0,Active
