escalation_id,alert_id,created_at,validation_started,validation_completed,resolution_time_hours,escalation_status,resolution_reason
1,2,2026-09-20T08:57,2026-09-20T09:03,2026-09-21T12:15,27.21,Open,
2,3,2026-09-20T09:54,2026-09-20T10:07,2026-09-21T22:31,36.4,Resolved,Validated and routed for review
3,4,2026-09-20T12:39,2026-09-20T12:49,2026-09-21T18:47,29.98,Open,
4,5,2026-09-20T08:15,2026-09-20T08:25,2026-09-20T17:51,9.43,Resolved,Validated and routed for review
5,6,2026-09-20T08:13,2026-09-20T08:53,2026-09-20T21:37,12.75,Resolved,Validated and routed for review
6,7,2026-09-20T12:39,2026-09-20T13:10,2026-09-21T02:51,13.7,Resolved,Validated and routed for review
7,8,2026-09-20T10:22,2026-09-20T11:18,2026-09-21T18:51,31.56,Open,
8,9,2026-09-20T11:36,2026-09-20T12:02,2026-09-20T23:28,11.45,Open,
9,10,2026-09-20T10:52,2026-09-20T11:03,2026-09-20T19:07,8.08,Open,
10,12,2026-09-20T11:03,2026-09-20T12:02,2026-09-21T01:43,13.69,In Progress,Validated and routed for review
11,13,2026-09-20T08:22,2026-09-20T09:13,2026-09-21T09:25,24.21,Open,
12,15,2026-09-20T11:13,2026-09-20T11:23,2026-09-21T08:09,20.77,Resolved,Validated and routed for review
13,16,2026-09-20T11:05,2026-09-20T11:46,2026-09-21T00:13,12.46,Open,
14,18,2026-09-20T08:23,2026-09-20T09:10,2026-09-20T18:54,9.75,In Progress,Validated and routed for review
15,19,2026-09-20T08:40,2026-09-20T09:39,2026-09-20T19:33,9.91,Open,
16,20,2026-09-20T11:14,2026-09-20T11:36,2026-09-21T05:00,17.42,In Progress,Validated and routed for review
17,21,2026-09-20T09:23,2026-09-20T09:51,2026-09-20T23:55,14.08,Resolved,Validated and routed for review
18,22,2026-09-20T10:16,2026-09-20T11:05,2026-09-21T20:55,33.85,Resolved,Validated and routed for review
19,23,2026-09-20T08:36,2026-09-20T09:19,2026-09-21T17:15,31.94,Resolved,Validated and routed for review
20,24,2026-09-20T10:05,2026-09-20T10:20,2026-09-21T04:03,17.72,In Progress,Validated and routed for review
21,25,2026-09-20T12:45,2026-09-20T13:04,2026-09-21T14:20,25.28,Open,
22,26,2026-09-20T09:57,2026-09-20T10:54,2026-09-20T13:59,3.09,In Progress,Validated and routed for review
23,28,2026-09-20T11:25,2026-09-20T11:47,2026-09-20T16:02,4.25,Resolved,Validated and routed for review
24,29,2026-09-20T10:41,2026-09-20T10:59,2026-09-21T11:16,24.28,In Progress,Validated and routed for review
25,30,2026-09-20T11:54,2026-09-20T12:08,2026-09-20T23:08,11.01,Open,
26,31,2026-09-20T12:47,2026-09-20T13:26,2026-09-21T00:21,10.93,Resolved,Validated and routed for review
27,32,2026-09-20T11:39,2026-09-20T12:21,2026-09-21T09:55,21.57,Open,
28,33,2026-09-20T09:10,2026-09-20T09:47,2026-09-21T04:33,18.78,Open,
29,34,2026-09-20T08:56,2026-09-20T09:10,2026-09-21T16:46,31.61,Resolved,Validated and routed for review
30,35,2026-09-20T11:36,2026-09-20T12:19,2026-09-20T16:28,4.16,In Progress,Validated and routed for review
31,36,2026-09-20T11:59,2026-09-20T12:37,2026-09-21T03:40,15.06,Resolved,Validated and routed for review
32,37,2026-09-20T08:05,2026-09-20T08:53,2026-09-21T20:35,35.71,Resolved,Validated and routed for review
33,38,2026-09-20T12:34,2026-09-20T13:27,2026-09-21T00:31,11.07,Resolved,Validated and routed for review
