loan_id,customer_id,loan_type,principal_amount,outstanding_balance,interest_rate,monthly_repayment,loan_status
30001,10158,Home,120000,79716.21,7.88,962.13,Active
30002,10016,Home,250000,109114.67,6.04,784.25,Active
30003,10064,Personal,15000,14599.86,7.61,293.32,Active
30004,10123,Personal,350000,198359.52,7.03,3930.56,Active
30005,10100,Home,15000,8263.39,6.09,160.1,Active
30006,10015,Vehicle,350000,239239.82,7.57,5792.37,Active
30007,10250,Home,75000,57286.84,6.22,376.84,Active
30008,10015,Personal,75000,53451.45,8.15,652.76,Active
30009,10091,Vehicle,40000,18437.73,7.1,131.49,Active
30010,10179,Home,15000,11897.63,6.45,88.36,Active
30011,10145,Home,75000,65783.93,7.69,787.41,Active
30012,10139,Home,350000,130871.0,5.65,911.37,Active
30013,10057,Home,350000,122650.71,7.98,2993.11,Active
30014,10207,Home,40000,37153.28,7.78,749.43,Active
30015,10016,Home,40000,33514.04,7.79,676.18,Active
30016,10246,Home,250000,179797.62,6.41,3510.37,Active
30017,10035,Vehicle,250000,212215.2,8.09,1650.58,Active
30018,10082,Home,180000,88315.1,7.09,2118.5,Active
30019,10097,Home,120000,51627.54,7.47,380.52,Active
30020,10243,Personal,15000,6970.67,6.36,51.4,Active
30021,10057,Personal,25000,23502.83,5.88,149.71,Active
30022,10020,Home,180000,82038.43,7.89,2566.63,Active
30023,10211,Personal,180000,113647.83,6.22,2680.5,Active
30024,10178,Home,120000,101498.71,7.45,3154.91,Active
30025,10099,Home,250000,240133.54,7.89,2899.54,Active
30026,10226,Home,250000,103475.0,6.79,789.25,Active
30027,10167,Personal,75000,33935.52,5.7,1027.78,Active
30028,10076,Home,120000,113945.66,5.7,2660.37,Active
30029,10228,Home,25000,17365.98,7.92,543.55,Active
30030,10087,Personal,350000,277843.27,6.66,1903.89,Active
30031,10043,Personal,250000,112243.84,5.77,2624.23,Active
30032,10250,Home,120000,91941.2,6.3,2809.54,Active
30033,10013,Home,350000,156366.58,6.47,1773.13,Active
30034,10023,Home,350000,166528.29,5.57,3878.18,Active
30035,10164,Home,25000,16208.74,5.81,178.41,Active
30036,10121,Home,120000,48889.95,6.97,1170.05,Active
30037,10095,Vehicle,180000,84158.51,5.62,918.35,Active
30038,10120,Home,120000,84657.04,5.91,540.8,Active
30039,10171,Home,180000,154647.63,6.62,1163.96,Active
30040,10059,Personal,250000,216398.82,6.63,1630.02,Active
30041,10176,Vehicle,350000,248783.5,6.14,4825.89,Active
30042,10021,Home,15000,9994.86,7.93,83.17,Active
30043,10174,Vehicle,40000,17031.1,7.54,412.11,Active
30044,10243,Vehicle,75000,64449.77,5.84,710.36,Active
30045,10021,Vehicle,250000,119302.29,7.72,2896.86,Active
30046,10214,Personal,180000,166285.23,7.97,5208.47,Active
30047,10023,Home,250000,174448.54,7.81,1438.6,Active
30048,10118,Vehicle,15000,12682.9,7.18,99.71,Active
30049,10201,Home,250000,111068.67,7.03,863.12,Active
30050,10195,Vehicle,25000,23317.62,7.02,720.19,Active
30051,10202,Home,180000,162553.13,6.21,1068.3,Active
30052,10125,Personal,350000,130761.18,6.24,3085.34,Active
30053,10159,Personal,250000,93608.25,7.9,1893.56,Active
30054,10177,Home,350000,325544.11,7.92,10189.36,Active
30055,10087,Vehicle,120000,65507.77,7.78,496.09,Active
30056,10176,Home,75000,32599.72,8.13,397.77,Active
30057,10199,Vehicle,120000,97097.24,7.13,3003.86,Active
30058,10049,Home,250000,204198.81,7.55,4096.58,Active
30059,10211,Home,40000,15653.55,7.42,185.16,Active
30060,10035,Personal,15000,6891.82,7.86,167.8,Active
30061,10215,Home,15000,9563.44,7.98,73.69,Active
30062,10051,Home,350000,233880.37,7.22,7245.1,Active
30063,10175,Home,180000,118428.42,6.7,1356.81,Active
30064,10151,Personal,180000,81542.44,7.92,625.04,Active
30065,10213,Personal,120000,44075.26,5.63,306.43,Active
30066,10200,Vehicle,75000,56838.7,7.33,1134.34,Active
30067,10167,Home,15000,13420.75,8.11,104.56,Active
30068,10003,Home,40000,30313.76,7.12,937.66,Active
30069,10058,Home,120000,95883.18,7.42,1917.66,Active
30070,10109,Vehicle,180000,115050.38,6.09,2229.06,Active
30071,10174,Personal,250000,179556.73,5.52,1104.78,Active
30072,10248,Vehicle,180000,126669.24,7.1,2514.18,Active
30073,10077,Personal,350000,136576.07,8.17,1069.54,Active
30074,10084,Vehicle,120000,91602.64,8.07,711.26,Active
30075,10077,Home,75000,68760.21,7.67,561.1,Active
30076,10104,Personal,40000,32176.34,7.27,641.24,Active
30077,10067,Vehicle,250000,148653.3,5.6,921.76,Active
30078,10147,Vehicle,180000,145390.76,6.1,1050.03,Active
30079,10164,Personal,180000,120529.5,7.78,912.77,Active
30080,10225,Personal,120000,49378.79,5.85,951.19,Active
