payment_id,loan_id,payment_date,amount_due,amount_paid,payment_status,days_overdue
40001,30001,2024-01-01,962.13,962.13,Paid,0
40002,30001,2024-02-04,962.13,962.13,Paid,0
40003,30001,2024-03-05,962.13,368.32,Partial,50
40004,30001,2024-04-05,962.13,390.92,Partial,29
40005,30001,2024-05-05,962.13,962.13,Paid,0
40006,30001,2024-05-31,962.13,962.13,Paid,0
40007,30001,2024-06-30,962.13,962.13,Paid,0
40008,30001,2024-07-31,962.13,962.13,Paid,0
40009,30001,2024-08-29,962.13,962.13,Paid,0
40010,30001,2024-10-01,962.13,962.13,Paid,0
40011,30001,2024-10-31,962.13,962.13,Paid,0
40012,30001,2024-11-30,962.13,962.13,Paid,0
40013,30001,2024-12-31,962.13,962.13,Paid,0
40014,30001,2025-01-25,962.13,962.13,Paid,0
40015,30001,2025-02-28,962.13,962.13,Paid,0
40016,30001,2025-03-28,962.13,962.13,Paid,0
40017,30001,2025-04-30,962.13,962.13,Paid,0
40018,30001,2025-05-25,962.13,962.13,Paid,0
40019,30001,2025-06-24,962.13,375.88,Partial,31
40020,30001,2025-07-26,962.13,962.13,Paid,0
40021,30001,2025-08-25,962.13,962.13,Paid,0
40022,30001,2025-09-23,962.13,962.13,Paid,0
40023,30001,2025-10-24,962.13,962.13,Paid,0
40024,30001,2025-11-24,962.13,962.13,Paid,0
40025,30001,2025-12-23,962.13,962.13,Paid,0
40026,30001,2026-01-21,962.13,962.13,Paid,0
40027,30001,2026-02-24,962.13,962.13,Paid,0
40028,30001,2026-03-23,962.13,962.13,Paid,0
40029,30001,2026-04-25,962.13,962.13,Paid,0
40030,30001,2026-05-23,962.13,962.13,Paid,0
40031,30002,2024-01-03,784.25,784.25,Paid,0
40032,30002,2024-02-03,784.25,784.25,Paid,0
40033,30002,2024-03-02,784.25,784.25,Paid,0
40034,30002,2024-03-31,784.25,784.25,Paid,0
40035,30002,2024-05-01,784.25,249.28,Partial,49
40036,30002,2024-06-04,784.25,784.25,Paid,0
40037,30002,2024-06-29,784.25,556.62,Partial,43
40038,30002,2024-07-29,784.25,784.25,Paid,0
40039,30002,2024-09-01,784.25,784.25,Paid,0
40040,30002,2024-10-01,784.25,784.25,Paid,0
40041,30002,2024-10-27,784.25,784.25,Paid,0
40042,30002,2024-11-30,784.25,410.8,Partial,44
40043,30002,2024-12-27,784.25,784.25,Paid,0
40044,30002,2025-01-26,784.25,434.29,Partial,57
40045,30002,2025-02-26,784.25,784.25,Paid,0
40046,30002,2025-03-30,784.25,784.25,Paid,0
40047,30002,2025-04-28,784.25,784.25,Paid,0
40048,30002,2025-05-25,784.25,784.25,Paid,0
40049,30002,2025-06-28,784.25,784.25,Paid,0
40050,30002,2025-07-28,784.25,784.25,Paid,0
40051,30002,2025-08-24,784.25,784.25,Paid,0
40052,30002,2025-09-26,784.25,784.25,Paid,0
40053,30002,2025-10-23,784.25,784.25,Paid,0
40054,30002,2025-11-24,784.25,175.87,Partial,51
40055,30002,2025-12-24,784.25,784.25,Paid,0
40056,30002,2026-01-22,784.25,784.25,Paid,0
40057,30002,2026-02-19,784.25,784.25,Paid,0
40058,30002,2026-03-25,784.25,326.84,Partial,33
40059,30002,2026-04-23,784.25,175.63,Partial,44
40060,30002,2026-05-22,784.25,784.25,Paid,0
40061,30003,2024-01-05,293.32,293.32,Paid,0
40062,30003,2024-02-02,293.32,293.32,Paid,0
40063,30003,2024-03-03,293.32,293.32,Paid,0
40064,30003,2024-04-04,293.32,293.32,Paid,0
40065,30003,2024-05-05,293.32,293.32,Paid,0
40066,30003,2024-06-03,293.32,293.32,Paid,0
40067,30003,2024-06-29,293.32,293.32,Paid,0
40068,30003,2024-08-01,293.32,0,Missed,17
40069,30003,2024-09-01,293.32,293.32,Paid,0
40070,30003,2024-09-29,293.32,293.32,Paid,0
40071,30003,2024-10-30,293.32,59.83,Partial,59
40072,30003,2024-11-27,293.32,293.32,Paid,0
40073,30003,2024-12-27,293.32,293.32,Paid,0
40074,30003,2025-01-30,293.32,293.32,Paid,0
40075,30003,2025-02-25,293.32,293.32,Paid,0
40076,30003,2025-03-28,293.32,293.32,Paid,0
40077,30003,2025-04-25,293.32,293.32,Paid,0
40078,30003,2025-05-28,293.32,293.32,Paid,0
40079,30003,2025-06-29,293.32,293.32,Paid,0
40080,30003,2025-07-29,293.32,293.32,Paid,0
40081,30003,2025-08-24,293.32,293.32,Paid,0
40082,30003,2025-09-27,293.32,293.32,Paid,0
40083,30003,2025-10-22,293.32,293.32,Paid,0
40084,30003,2025-11-22,293.32,293.32,Paid,0
40085,30003,2025-12-22,293.32,293.32,Paid,0
40086,30003,2026-01-24,293.32,293.32,Paid,0
40087,30003,2026-02-23,293.32,293.32,Paid,0
40088,30003,2026-03-22,293.32,293.32,Paid,0
40089,30003,2026-04-21,293.32,293.32,Paid,0
40090,30003,2026-05-23,293.32,293.32,Paid,0
40091,30004,2024-01-05,3930.56,3930.56,Paid,0
40092,30004,2024-02-05,3930.56,3930.56,Paid,0
40093,30004,2024-03-03,3930.56,1296.91,Partial,41
40094,30004,2024-04-03,3930.56,3930.56,Paid,0
40095,30004,2024-05-01,3930.56,3930.56,Paid,0
40096,30004,2024-06-02,3930.56,3930.56,Paid,0
40097,30004,2024-07-03,3930.56,3930.56,Paid,0
40098,30004,2024-07-30,3930.56,3930.56,Paid,0
40099,30004,2024-09-01,3930.56,3930.56,Paid,0
40100,30004,2024-10-02,3930.56,3930.56,Paid,0
40101,30004,2024-10-30,3930.56,3930.56,Paid,0
40102,30004,2024-11-26,3930.56,3930.56,Paid,0
40103,30004,2024-12-29,3930.56,3930.56,Paid,0
40104,30004,2025-01-25,3930.56,3930.56,Paid,0
40105,30004,2025-02-28,3930.56,3930.56,Paid,0
40106,30004,2025-03-27,3930.56,3930.56,Paid,0
40107,30004,2025-04-26,3930.56,3930.56,Paid,0
40108,30004,2025-05-29,3930.56,3930.56,Paid,0
40109,30004,2025-06-28,3930.56,3930.56,Paid,0
40110,30004,2025-07-24,3930.56,3930.56,Paid,0
40111,30004,2025-08-28,3930.56,3930.56,Paid,0
40112,30004,2025-09-26,3930.56,3930.56,Paid,0
40113,30004,2025-10-22,3930.56,2613.52,Partial,44
40114,30004,2025-11-24,3930.56,3930.56,Paid,0
40115,30004,2025-12-23,3930.56,3930.56,Paid,0
40116,30004,2026-01-25,3930.56,3930.56,Paid,0
40117,30004,2026-02-20,3930.56,1923.12,Partial,52
40118,30004,2026-03-24,3930.56,3930.56,Paid,0
40119,30004,2026-04-25,3930.56,2760.49,Partial,39
40120,30004,2026-05-20,3930.56,3930.56,Paid,0
40121,30005,2024-01-03,160.1,160.1,Paid,0
40122,30005,2024-02-01,160.1,40.07,Partial,41
40123,30005,2024-03-05,160.1,160.1,Paid,0
40124,30005,2024-04-01,160.1,160.1,Paid,0
40125,30005,2024-05-05,160.1,160.1,Paid,0
40126,30005,2024-06-03,160.1,160.1,Paid,0
40127,30005,2024-07-03,160.1,160.1,Paid,0
40128,30005,2024-08-03,160.1,160.1,Paid,0
40129,30005,2024-08-30,160.1,160.1,Paid,0
40130,30005,2024-09-27,160.1,160.1,Paid,0
40131,30005,2024-11-01,160.1,160.1,Paid,0
40132,30005,2024-11-28,160.1,160.1,Paid,0
40133,30005,2024-12-29,160.1,160.1,Paid,0
40134,30005,2025-01-29,160.1,160.1,Paid,0
40135,30005,2025-03-01,160.1,160.1,Paid,0
40136,30005,2025-03-27,160.1,160.1,Paid,0
40137,30005,2025-04-29,160.1,160.1,Paid,0
40138,30005,2025-05-27,160.1,160.1,Paid,0
40139,30005,2025-06-27,160.1,160.1,Paid,0
40140,30005,2025-07-26,160.1,160.1,Paid,0
40141,30005,2025-08-28,160.1,160.1,Paid,0
40142,30005,2025-09-23,160.1,160.1,Paid,0
40143,30005,2025-10-27,160.1,160.1,Paid,0
40144,30005,2025-11-22,160.1,160.1,Paid,0
40145,30005,2025-12-26,160.1,41.65,Partial,35
40146,30005,2026-01-23,160.1,160.1,Paid,0
40147,30005,2026-02-23,160.1,160.1,Paid,0
40148,30005,2026-03-26,160.1,160.1,Paid,0
40149,30005,2026-04-21,160.1,160.1,Paid,0
40150,30005,2026-05-25,160.1,160.1,Paid,0
40151,30006,2024-01-01,5792.37,5792.37,Paid,0
40152,30006,2024-02-03,5792.37,2671.59,Partial,7
40153,30006,2024-03-03,5792.37,5792.37,Paid,0
40154,30006,2024-03-31,5792.37,5792.37,Paid,0
40155,30006,2024-05-05,5792.37,5792.37,Paid,0
40156,30006,2024-06-02,5792.37,5792.37,Paid,0
40157,30006,2024-07-03,5792.37,5792.37,Paid,0
40158,30006,2024-08-02,5792.37,5792.37,Paid,0
40159,30006,2024-08-29,5792.37,5792.37,Paid,0
40160,30006,2024-09-30,5792.37,5792.37,Paid,0
40161,30006,2024-11-01,5792.37,2959.28,Partial,15
40162,30006,2024-11-26,5792.37,5792.37,Paid,0
40163,30006,2024-12-30,5792.37,5792.37,Paid,0
40164,30006,2025-01-26,5792.37,5792.37,Paid,0
40165,30006,2025-03-01,5792.37,5792.37,Paid,0
40166,30006,2025-03-27,5792.37,5792.37,Paid,0
40167,30006,2025-04-26,5792.37,5792.37,Paid,0
40168,30006,2025-05-27,5792.37,5792.37,Paid,0
40169,30006,2025-06-26,5792.37,5792.37,Paid,0
40170,30006,2025-07-27,5792.37,5792.37,Paid,0
40171,30006,2025-08-27,5792.37,5792.37,Paid,0
40172,30006,2025-09-27,5792.37,5792.37,Paid,0
40173,30006,2025-10-22,5792.37,5792.37,Paid,0
40174,30006,2025-11-26,5792.37,5792.37,Paid,0
40175,30006,2025-12-25,5792.37,5792.37,Paid,0
40176,30006,2026-01-22,5792.37,5792.37,Paid,0
40177,30006,2026-02-20,5792.37,5792.37,Paid,0
40178,30006,2026-03-24,5792.37,5792.37,Paid,0
40179,30006,2026-04-22,5792.37,5792.37,Paid,0
40180,30006,2026-05-24,5792.37,5792.37,Paid,0
40181,30007,2024-01-01,376.84,376.84,Paid,0
40182,30007,2024-02-02,376.84,256.92,Partial,64
40183,30007,2024-03-03,376.84,376.84,Paid,0
40184,30007,2024-04-04,376.84,376.84,Paid,0
40185,30007,2024-05-03,376.84,0,Missed,39
40186,30007,2024-06-02,376.84,376.84,Paid,0
40187,30007,2024-07-01,376.84,0,Missed,32
40188,30007,2024-08-03,376.84,376.84,Paid,0
40189,30007,2024-09-01,376.84,376.84,Paid,0
40190,30007,2024-09-30,376.84,376.84,Paid,0
40191,30007,2024-10-27,376.84,376.84,Paid,0
40192,30007,2024-11-27,376.84,376.84,Paid,0
40193,30007,2024-12-27,376.84,376.84,Paid,0
40194,30007,2025-01-28,376.84,0,Missed,36
40195,30007,2025-02-28,376.84,376.84,Paid,0
40196,30007,2025-03-28,376.84,376.84,Paid,0
40197,30007,2025-04-25,376.84,376.84,Paid,0
40198,30007,2025-05-30,376.84,376.84,Paid,0
40199,30007,2025-06-24,376.84,376.84,Paid,0
40200,30007,2025-07-25,376.84,376.84,Paid,0
40201,30007,2025-08-25,376.84,376.84,Paid,0
40202,30007,2025-09-26,376.84,376.84,Paid,0
40203,30007,2025-10-27,376.84,376.84,Paid,0
40204,30007,2025-11-22,376.84,376.84,Paid,0
40205,30007,2025-12-22,376.84,376.84,Paid,0
40206,30007,2026-01-21,376.84,376.84,Paid,0
40207,30007,2026-02-20,376.84,376.84,Paid,0
40208,30007,2026-03-22,376.84,376.84,Paid,0
40209,30007,2026-04-22,376.84,376.84,Paid,0
40210,30007,2026-05-20,376.84,376.84,Paid,0
40211,30008,2024-01-01,652.76,652.76,Paid,0
40212,30008,2024-02-05,652.76,652.76,Paid,0
40213,30008,2024-03-01,652.76,652.76,Paid,0
40214,30008,2024-04-04,652.76,0,Missed,57
40215,30008,2024-05-03,652.76,652.76,Paid,0
40216,30008,2024-06-01,652.76,652.76,Paid,0
40217,30008,2024-07-03,652.76,652.76,Paid,0
40218,30008,2024-08-01,652.76,652.76,Paid,0
40219,30008,2024-09-01,652.76,652.76,Paid,0
