alert_id,customer_id,account_id,alert_type,risk_score,severity,detected_date,status,assigned_team
2,10002,20199,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
3,10005,20240,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
4,10011,20002,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
5,10013,20130,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
6,10015,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
7,10016,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
8,10018,20288,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
9,10019,20248,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
10,10021,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
12,10023,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
13,10031,20091,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
15,10035,20206,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
16,10044,20142,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
18,10051,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
19,10057,20186,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
20,10058,20051,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
21,10059,20144,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
22,10064,20309,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
23,10065,20243,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
24,10067,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
25,10069,20237,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
26,10078,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
28,10087,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
29,10094,20019,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
30,10095,20030,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
31,10096,20023,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
32,10104,20006,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
33,10108,20012,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
34,10117,20132,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
35,10118,20139,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
36,10122,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
37,10125,,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
38,10131,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
39,10132,20119,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
40,10139,20099,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
41,10148,20187,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
42,10150,20016,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
44,10151,20147,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
45,10159,20004,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
46,10167,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
47,10171,20071,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
48,10175,20022,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
49,10176,20164,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
50,10177,20223,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
51,10179,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
52,10181,20078,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
55,10182,,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
56,10186,20056,Consecutive Missed Payments,40,High,2026-09-20,Open,Credit Operations
57,10194,20024,Consecutive Missed Payments,25,Medium,2026-09-20,Open,Credit Operations
