transaction_id,account_id,transaction_date,transaction_type,amount,merchant_category,country,channel
50001,20274,2026-07-06,Debit,3951.17,Utilities,United States,POS
50002,20117,2026-04-26,Credit,1266.12,Transfer,New Zealand,Mobile
50003,20191,2026-05-16,Credit,3866.55,Healthcare,New Zealand,Mobile
50004,20042,2026-03-01,Debit,3013.55,Healthcare,United Kingdom,Mobile
50005,20207,2026-07-31,Debit,2598.35,Dining,New Zealand,Branch
50006,20239,2026-01-27,Credit,3875.31,Transfer,New Zealand,POS
50007,20242,2026-08-14,Debit,2375.83,Utilities,New Zealand,ATM
50008,20039,2026-09-19,Debit,4471.44,Travel,New Zealand,Mobile
50009,20319,2026-05-23,Debit,1224.21,Utilities,New Zealand,Branch
50010,20118,2026-07-01,Debit,2888.45,Fuel,New Zealand,ATM
50011,20004,2026-03-09,Debit,4373.93,Dining,New Zealand,Online
50012,20210,2026-04-14,Debit,4104.98,Groceries,New Zealand,Mobile
50013,20249,2026-04-14,Debit,510.35,Fuel,New Zealand,POS
50014,20016,2026-04-16,Credit,2046.54,Transfer,New Zealand,ATM
50015,20314,2026-08-15,Debit,2971.79,Groceries,New Zealand,Online
50016,20131,2026-03-20,Debit,3308.41,ATM,New Zealand,Online
50017,20171,2026-09-10,Credit,34.17,Dining,New Zealand,POS
50018,20087,2026-08-08,Debit,2861.39,Groceries,New Zealand,Branch
50019,20141,2026-04-13,Debit,2426.78,ATM,New Zealand,Mobile
50020,20001,2026-04-18,Debit,2478.39,Retail,New Zealand,Branch
50021,20009,2026-05-24,Debit,2087.44,Salary,New Zealand,ATM
50022,20089,2026-04-13,Credit,4284.21,Utilities,New Zealand,Branch
50023,20022,2026-03-22,Debit,1792.7,Healthcare,New Zealand,ATM
50024,20004,2026-03-26,Credit,2742.05,Transfer,New Zealand,POS
50025,20001,2026-08-09,Debit,4353.85,Groceries,New Zealand,Branch
50026,20085,2026-03-05,Debit,2162.17,Fuel,New Zealand,ATM
50027,20063,2026-01-07,Debit,3173.44,ATM,New Zealand,Online
50028,20037,2026-08-20,Debit,3277.14,Retail,New Zealand,Online
50029,20072,2026-03-03,Debit,881.83,ATM,New Zealand,POS
50030,20026,2026-03-29,Debit,1122.72,Travel,New Zealand,Branch
50031,20034,2026-05-24,Credit,560.67,Groceries,New Zealand,Branch
50032,20102,2026-06-24,Debit,4288.07,ATM,New Zealand,Mobile
50033,20289,2026-01-29,Credit,3480.34,Groceries,New Zealand,Online
50034,20140,2026-05-15,Debit,1101.42,Fuel,New Zealand,ATM
50035,20042,2026-07-19,Debit,2358.5,Retail,New Zealand,Online
50036,20167,2026-06-18,Debit,137.7,Groceries,New Zealand,ATM
50037,20058,2026-07-10,Debit,2113.98,Transfer,New Zealand,POS
50038,20204,2026-08-29,Debit,3805.49,Transfer,New Zealand,POS
50039,20302,2026-01-15,Debit,3583.52,Groceries,New Zealand,Online
50040,20190,2026-08-25,Credit,786.25,Groceries,New Zealand,POS
50041,20158,2026-02-04,Debit,1668.96,Transfer,New Zealand,POS
50042,20093,2026-02-27,Credit,962.85,Utilities,New Zealand,Mobile
50043,20047,2026-03-16,Debit,138.96,Travel,New Zealand,Mobile
50044,20260,2026-02-04,Credit,4024.97,Transfer,New Zealand,Mobile
50045,20083,2026-02-05,Debit,2306.75,ATM,Japan,Branch
50046,20063,2026-06-04,Debit,2941.32,Utilities,New Zealand,Mobile
50047,20214,2026-03-23,Debit,853.64,Transfer,Japan,POS
50048,20123,2026-08-28,Debit,849.4,Transfer,New Zealand,Branch
50049,20108,2026-09-19,Debit,818.72,Salary,New Zealand,POS
50050,20115,2026-02-06,Credit,1401.59,Utilities,New Zealand,ATM
50051,20032,2026-05-24,Debit,803.81,Groceries,New Zealand,Branch
50052,20245,2026-09-12,Debit,2109.63,ATM,New Zealand,Mobile
50053,20179,2026-05-09,Debit,3164.62,Travel,New Zealand,Mobile
50054,20248,2026-09-13,Debit,3742.01,Transfer,New Zealand,Online
50055,20228,2026-07-06,Debit,308.09,Groceries,New Zealand,Online
50056,20280,2026-06-05,Debit,3009.33,Transfer,New Zealand,Online
50057,20001,2026-07-23,Debit,2278.4,Dining,New Zealand,Branch
50058,20023,2026-06-07,Debit,1533.48,Fuel,New Zealand,Branch
50059,20319,2026-08-30,Credit,2865.28,Travel,United Kingdom,Branch
50060,20128,2026-06-29,Credit,3227.18,Retail,United Kingdom,Branch
50061,20128,2026-02-09,Debit,4143.04,Salary,New Zealand,Branch
50062,20009,2026-04-03,Debit,231.56,Travel,New Zealand,ATM
50063,20080,2026-08-26,Debit,2114.07,Travel,India,Branch
50064,20187,2026-06-26,Debit,502.46,Retail,New Zealand,Branch
50065,20044,2026-03-28,Debit,2250.07,Travel,New Zealand,Mobile
50066,20059,2026-04-13,Debit,412.56,Transfer,New Zealand,Mobile
50067,20164,2026-07-04,Credit,613.89,Travel,India,Mobile
50068,20021,2026-08-25,Debit,2783.14,Utilities,New Zealand,ATM
50069,20194,2026-02-12,Debit,4446.79,Salary,United States,Mobile
50070,20041,2026-01-09,Debit,65.32,Salary,New Zealand,ATM
